index	job_link	job_title	job_company	job_industry	job_update	job_location	job_exp	job_edu	job_brief	job_applicants	job_tags_salary	job_tags_tse_otc	job_tags_fc	job_tags_emp	job_tags_remote	job_tags_metro
11	//www.104.com.tw/job/73ifb?jobsource=jolist_a_relevance	Data Engineer 數據工程師(台北總公司)	山富國際旅行社股份有限公司	旅遊服務業	4/12	台北市中山區	1年以上	大學	主要工作:1.設計數據流(Data Pipeline)從資料庫、API中取得及彙整資料2.依據商業需求完成自動化報表及數據視覺化3.透過統計或建模回答/解決商業問題主要使用工具: Python, SQL	0~5人應徵	月薪40,000元以上			員工500人		距捷運松江南京站約120公尺
12	//www.104.com.tw/job/79w97?jobsource=jolist_a_relevance	資深資料工程師 / Senior Data Engineer	木刻思股份有限公司	其它軟體及網路相關業	4/07	台北市大同區	經歷不拘	學歷不拘	【工作內容】使用 python、SQL 等工具建置符合客戶分析需求的 Data Pipeline參與專案產品的設計與開發（e.g., 推薦系統、客戶行為分析、銷售預測、影像辨識 ...）製作分析與報表工具（e.g. powerBI )撰	11~30人應徵	年薪1,200,000~2,000,000元			員工50人	遠端工作	距捷運中山站約360公尺
13	//www.104.com.tw/job/7xm98?jobsource=jolist_a_relevance	資料工程師 Data Engineer	Finger Game_芬格國際股份有限公司	電腦軟體服務業	4/07	台北市大安區	經歷不拘	大學	【工作內容】1. 開發建置數據分析平台2. 資料收集、ETL、報表顯示【期待你具備的能力與特質】1. 熟悉SQL 及 NoSQL 語法，BigQuery 尤佳【加分條件】1. 熟 Python2. 熟 Metabase【注意事項】· 如果團隊覺得有機會合作，一起往更高的目標邁進，我們會儘速聯絡你！· 若不符合的面試者，將不另行通知。	11~30人應徵	待遇面議			員工180人		
14	//www.104.com.tw/job/7qw5l?jobsource=jolist_a_relevance	Data engineer/數據工程師 (分析)	香港商香港球鞋團隊有限公司	綜合商品批發代理業	4/11	台北市中正區	3年以上	大學	welcome proposals for new tooling stacks.*** 數據工程師 (分析) Data Engineering / Data Analytics1. Familiar with Python / R2.	6~10人應徵	月薪60,000元以上			員工100人		距捷運忠孝新生站約190公尺
15	//www.104.com.tw/job/7y0fg?jobsource=jolist_a_relevance	Data Engineer / 資料工程師	璿宇數位有限公司	其它軟體及網路相關業	4/08	台北市大安區	2年以上	專科	邏輯思維清晰、富有團隊精神、熱愛技術、學習能力強．工作內容主要包含:1. 與工程師、架構師、PM密切合作, 提供客戶高質量的數據相關服務。 2. 負責協助客戶整合、設計、部署大數據處理流程與平臺。3. 提供數據為客戶開發數據智能解決方案/報告。4. 負責我們數據產品服務的技術設計和開發。5. 與業務和工程團隊合作，制定長期數據平臺架構戰略。	11~30人應徵	月薪60,000~90,000元					距捷運國父紀念館站約250公尺
16	//www.104.com.tw/job/7fjfp?jobsource=jolist_a_relevance	數據工程師 Data Engineer	偉康科技股份有限公司	電腦軟體服務業	4/13	台北市松山區	3年以上	碩士	▎工作內容我們是偉康科技數據團隊，專注解決金融領域數據專家，持續精進並發展監理科技產品。團隊成員有數據專案家、資料科學家、工程師及專案主管，協助客戶解決數據中台、資料湖泊、大數據及資料轉換等議題，支援客戶專案時程完成工作。你的工作內容包含：1. 成為掌握1~2項數據產品的專家。2. 在數據應用專案中參與產品的規劃、安裝建置並與專案團隊協作。3. 協助客戶排查產品問題及提供顧問服務。4. 協助數據科技產品並進行PoC及功能特色驗證。5. 定期撰寫數據文章。▎團隊核心價值以智能數據成就客戶，深耕技術，追求挑戰及創新，邀請不斷超越自己的您一同加入▎Must-have1. 具一年以上數據專案或產品實作經驗。2. 具程式實作經驗（Python or Java or  Nodejs or Shell or  SQL）。3. 具備任一 Kafka / Elasticsearch / Neo4j產品實務經驗。4. 具備Linux系統操作經驗5. 熟悉Git。6. 主動積極、樂於學習分享新技術，具備自我成長、追求進步的特質。7. 良好的團隊溝通能力。▎Nice to have1. 具在雲端運算平台上之開發經驗（GCP/AWS/etc..），對雲端新技術及處理、分析大量資料有濃厚的興趣尤佳。2. 具Greenplum或Hadoop產品實務經驗尤佳。3. 具資料倉儲實務經驗尤佳。4. 具微服務容器化實務經驗尤佳。▍關於偉康 WebComm（股票代號：6865） 「We make your business smarter! 透過科技和創新來重新定義改造數位金融」是偉康科技創新且紮實的軟實力累積的變現力！偉康科技成立於1998年，提供數位金融解決方案及全方位數位身分SaaS服務，協助企業進行數位轉型。2021年．偉康科技以FIDO解決方案榮獲國際級監理科技黑客松首獎，成功導入多家客戶深獲好評。深厚的技術底蘊更讓偉康科技榮獲2021 CIO Advisor APAC雜誌評選為亞太區TOP 10最佳數位轉型廠商，成為台灣唯一入選企業。2022年．取得經濟部工業局認證「資訊安全服務機構能量登錄」，通過多項資安產品服務，並獲得「台灣精品獎」，自主研發能力深受肯定。	6~10人應徵	待遇面議	上市上櫃		員工180人		距捷運南京三民站約60公尺
17	//www.104.com.tw/job/5jh6a?jobsource=jolist_a_relevance	Data Engineer / 資料工程師	瑞嘉軟體科技股份有限公司	電腦軟體服務業	4/06	台北市內湖區	1年以上	大學	•  Design and implement software systems and tools for internal process automation based on data mining and machine	11~30人應徵	月薪60,060~153,275元		外商公司	員工200人		
18	//www.104.com.tw/job/7glri?jobsource=jolist_a_relevance	[DBA團隊]資料工程師Data Engineer	天堂遊戲有限公司	電腦軟體服務業	4/06	台北市信義區	1年以上	專科	此職位將會隸屬在DBA Team，因目前有三種 MQ 技術同時並行，正在找尋優秀的您專職深入研究以及優化 MQ 使用。1. 撰寫Python(Pandas、Numpy)或Java、SQL、Shell相關經驗2. 數據建模、流與批處理相關經驗(Flink、Kettle、Airflow)3. 分散式運算和大數據的相關知識(Spark、Hadoop、Hive、Hudi)4. 雲端大數據工具相關使用經驗(GCP、AWS)5. 整合串接不同資料源開發經驗(API、Kafka、RDB、NoSQL)6. 良好的團隊溝通能力，對技術研究以及程式開發保持極大的熱忱	0~5人應徵	月薪40,000元以上			員工170人		距捷運象山站約340公尺
19	//www.104.com.tw/job/6emjz?jobsource=jolist_a_relevance	數據工程師 Data Engineer -數據科技(數數發中心, DDT)	國泰金控_國泰金融控股股份有限公司	金融控股業	4/06	台北市信義區	1年以上	大學	[主要任務]1. 各項數據資料盤點與蒐集，並進行資料模型設計與管理2. 因應業務需求支援各類型來源資料串接、資料處理，完善資料倉儲3. 資料 ETL 流程自動化規劃、設計、開發與監控維護4. 資料品質之監控與管理，及對應機制的建立5. 因應後續資料應用場景，規劃與設計分析型資料集[必要條件]1. 具備基礎 SQL 及 Python 程式處理能力2. ETL 排程工具使用經驗，如：Airflow、Oozie、Step Function等3. 具備 ETL 流程自動化設計及開發經驗這個職位將負責資料 ETL 規劃、工程開發及監控管理，協助業務單位發展數據驅動。你將有機會與頂尖人才共事，協助打造和優化數據科技平台環境，進而提升集團整體大數據技術運用能力，創造前所未有的可能。	6~10人應徵	待遇面議	上市上櫃		員工400人	遠端工作	距捷運市政府站約430公尺
20	//www.104.com.tw/job/79w8b?jobsource=jolist_a_relevance	資料工程師 / Junior Data Engineer	木刻思股份有限公司	其它軟體及網路相關業	4/07	台北市大同區	經歷不拘	學歷不拘	【工作內容】使用 python、SQL 等工具建置符合客戶分析需求的 Data Pipeline參與專案產品的設計與開發（e.g., 推薦系統、客戶行為分析、銷售預測、影像辨識 ...）製作分析與報表工具（e.g. powerBI )撰	11~30人應徵	年薪500,000~1,200,000元			員工50人	遠端工作	距捷運中山站約360公尺
